,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Entomology,Infrastructure,,1,Trabalhos pedreiro,capital,Financial,100%,"292,737","292,736.63","292,736.63",10.0,"227,681.6",gamma,16,18296.0393258427,"73,184.2","292,736.63",,1,1.00,1,0.03,1.03,1.00,"29,273.66",770.36,,1,1,1,-0.10,0.90,1.00,"29,216.82",768.86,,1,1,1,0.07,1.07,1.00,"29,138.46",766.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Entomology,Infrastructure,"We used special paint, maybe NMCP could use a cheaper one",1,Trabalhos pintor,capital,Financial,100%,"88,720","88,720.18","88,720.18",10.0,"79,486.4",gamma,16,5545.01123595506,"22,180.0","88,720.18",,1,1.00,1,-0.02,0.98,1.00,"8,872.02",233.47,,1,1,1,-0.09,0.91,1.00,"8,854.79",233.02,,1,1,1,0.08,1.08,1.00,"8,831.04",232.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Entomology,Infrastructure,,1,Construção dreno circular,capital,Financial,100%,"16,785","16,784.90","16,784.90",10.0,"22,710.9",gamma,16,1049.05617977528,"4,196.2","16,784.90",,1,1.00,1,0.05,1.05,1.00,"1,678.49",44.17,,1,1,1,0.09,1.09,1.00,"1,675.23",44.09,,1,1,1,-0.02,0.98,1.00,"1,670.74",43.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Entomology,Infrastructure,For NMCP we only counted the acquisition of 2 ,1,Trabalhos adicionais instalaçao AC,capital,Financial,100%,"346,655","346,655.34","346,655.34",10.0,"218,398.7",gamma,16,21665.9590617978,"86,663.8","346,655.34",,1,1.00,1,0.04,1.04,1.00,"34,665.53",912.25,,1,1,1,0.01,1.01,1.00,"34,598.22",910.48,,1,1,1,0.03,1.03,1.00,"34,505.42",908.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Entomology,Infrastructure,,,Trabalhos adicionais instalaçao electrica (light dimming),capital,Financial,100%,"207,319","207,318.89","207,318.89",10.0,"277,186.8",gamma,16,12957.4305337079,"51,829.7","207,318.89",,1,1.00,1,-0.09,0.91,1.00,"20,731.89",545.58,,1,1,1,0.03,1.03,1.00,"20,691.63",544.52,,1,1,1,0.04,1.04,1.00,"20,636.13",543.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Entomology,Infrastructure,1 per room (optional but preferable) - includes transport and taxes,2,Data loggers ,capital,Financial,100%,"8,480","8,480.27","8,480.27",10.0,"8,607.0",gamma,16,530.016875,"2,120.1","8,480.27",,2,1.00,2,0.02,2.04,2.00,"1,696.05",44.63,,2,1,2,0.03,2.06,2.00,"1,692.76",44.55,,2,1,2,0.09,2.18,2.00,"1,688.22",44.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Entomology,Infrastructure,Necessary,1,Vedaçao (chapa roof),capital,Financial,100%,"32,398","32,398.20","32,398.20",10.0,"30,227.1",gamma,16,2024.88764044944,"8,099.6","32,398.20",,1,1.00,1,0.10,1.10,1.00,"3,239.82",85.26,,1,1,1,-0.03,0.97,1.00,"3,233.53",85.09,,1,1,1,-0.08,0.92,1.00,"3,224.86",84.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Entomology,Infrastructure,Not necessary,,Floor,capital,Financial,100%,1,1.00,1.00,10.0,0.8,gamma,16,0.0625,0.3,1.00,,1,1.00,1,0.07,1.07,1.00,0.10,0.00,,1,1,1,-0.08,0.92,1.00,0.10,0.00,,1,1,1,-0.06,0.94,1.00,0.10,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Entomology,Infrastructure,Not essential,,Access code,capital,Financial,100%,"59,790","59,790.21","59,790.21",10.0,"66,562.6",gamma,16,3736.88797752809,"14,947.6","59,790.21",,1,1.00,1,-0.10,0.90,1.00,"5,979.02",157.34,,1,1,1,-0.10,0.90,1.00,"5,967.41",157.04,,1,1,1,0.08,1.08,1.00,"5,951.41",156.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Entomology,Infrastructure,Necessary,1,Door,capital,Financial,100%,"14,944","14,943.82","14,943.82",10.0,"9,452.2",gamma,16,933.988764044944,"3,736.0","14,943.82",,1,1.00,1,0.10,1.10,1.00,"1,494.38",39.33,,1,1,1,-0.02,0.98,1.00,"1,491.48",39.25,,1,1,1,-0.09,0.91,1.00,"1,487.48",39.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Entomology,Infrastructure,1 per room (includes tax and transport cost),2,Humidifiers,capital,Financial,100%,"3,903","3,903.08","3,903.08",10.0,"3,136.8",gamma,16,243.9421875,975.8,"3,903.08",,2,1.00,2,0.03,2.06,2.00,780.62,20.54,,2,1,2,0.05,2.10,2.00,779.10,20.50,,2,1,2,0.10,2.20,2.00,777.01,20.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Entomology,Infrastructure,10% of insectary capital costs (containers),,Insectary operating costs,current,Non-financial,100%,"495,000","49,500.00","49,500.00",1.0,"46,328.7",gamma,16,3093.75,"12,375.0","49,500.00",,1,1,1,0.08,1.08,1.00,"49,500.00","1,302.63",,1,1,1,0.08,1.08,1.00,"49,403.88","1,300.10",,1,1,1,-0.09,0.91,1.00,"49,271.37","1,296.62",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Entomology,Equipment,1,1,(insectary equipment) Geleira (normal),capital,Financial,100%,"14,943","14,942.97","14,942.97",10.0,"19,969.4",gamma,16,933.935393258427,"3,735.7","14,942.97",,1,1,1,-0.10,0.90,1.00,"1,494.30",39.32,,1,1,1,-0.10,0.90,1.00,"1,491.40",39.25,,1,1,1,-0.01,0.99,1.00,"1,487.39",39.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Entomology,Equipment,Essential (includes transport and tax cost),4,(insectary equipment) Bugdorm,capital,Financial,100%,"2,056","2,056.31","2,056.31",2.0,"2,185.5",gamma,16,128.519325,514.1,"2,056.31",,4,1,4,-0.07,3.72,4.00,"4,112.62",108.23,,4,1,4,-0.02,3.92,4.00,"4,104.63",108.02,,4,1,4,0.10,4.40,4.00,"4,093.62",107.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Entomology,Equipment,Essential but could be simpler,1,(insectary equipment) Microscopio,capital,Financial,100%,"45,600","45,600.00","45,600.00",10.0,"35,977.0",gamma,16,2850,"11,400.0","45,600.00",,1,1,1,0.01,1.01,1.00,"4,560.00",120.00,,1,1,1,-0.06,0.94,1.00,"4,551.15",119.77,,1,1,1,-0.01,0.99,1.00,"4,538.94",119.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Entomology,Equipment,Waiting for exact price. Assuming 50USD for now,3,(insectary equipment) Termometers,capital,Financial,100%,"1,900","1,900.00","1,900.00",4.0,"1,797.4",gamma,16,118.75,475.0,"1,900.00",,3,1,3,0.06,3.18,3.00,"1,425.00",37.50,,3,1,3,-0.10,2.70,3.00,"1,422.23",37.43,,3,1,3,-0.09,2.73,3.00,"1,418.42",37.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Entomology,Equipment,4 aspiradores por sala (imported from US),8,(insectary equipment) Mouth aspirator,current,Financial,100%,"1,254","1,254.00","1,254.00",1.0,"1,294.9",gamma,16,78.375,313.5,"1,254.00",,8,1,8,-0.10,7.20,8.00,"10,032.00",264.00,,8,1,8,-0.10,7.20,8.00,"10,012.52",263.49,,8,1,8,-0.06,7.52,8.00,"9,985.67",262.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Entomology,Equipment,some,10,(insectary equipment) pinzas de las cejas para coger mosquitos,current,Financial,100%,190,190.00,190.00,1.0,147.8,gamma,16,11.875,47.5,190.00,,10,1,10,0.03,10.30,10.00,"1,900.00",50.00,,10,1,10,0.10,11.00,10.00,"1,896.31",49.90,,10,1,10,-0.02,9.80,10.00,"1,891.22",49.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Entomology,Equipment,esential ,40,(insectary equipment) Round big  trays,current,Financial,100%,760,760.00,760.00,1.0,774.3,gamma,16,47.5,190.0,760.00,,40,1,40,-0.04,38.40,40.00,"30,400.00",800.00,,40,1,40,-0.10,36.00,40.00,"30,340.97",798.45,,40,1,40,-0.03,38.80,40.00,"30,259.59",796.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Entomology,Equipment,essential ,10,(insectary equipment) Squared little  trays,current,Financial,100%,570,570.00,570.00,1.0,371.1,gamma,16,35.625,142.5,570.00,,10,1,10,-0.04,9.60,10.00,"5,700.00",150.00,,10,1,10,0.02,10.20,10.00,"5,688.93",149.71,,10,1,10,0.00,10.00,10.00,"5,673.67",149.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Entomology,Equipment,non essential,,(insectary equipment) Modem,current,Financial,100%,760,760.00,760.00,1.0,928.0,gamma,16,47.5,190.0,760.00,,1,1,1,0.02,1.02,1.00,760.00,20.00,,1,1,1,-0.07,0.93,1.00,758.52,19.96,,1,1,1,-0.05,0.95,1.00,756.49,19.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Entomology,Equipment,"5 in, 5 out = 10 per site",10,(Field equipment) CDC-LT,capital,Financial,100%,"5,738","5,738.00","5,738.00",3.0,"4,975.7",gamma,16,358.625,"1,434.5","5,738.00",,10,1,10,-0.01,9.90,10.00,"19,126.67",503.33,,10,1,10,-0.08,9.20,10.00,"19,089.53",502.36,,10,1,10,0.08,10.80,10.00,"19,038.33",501.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Entomology,Equipment,20 per site,20,(Field equipment)Batteries,capital,Financial,100%,"2,204","2,204.00","2,204.00",3.0,"1,798.7",gamma,16,137.75,551.0,"2,204.00",,20,1,20,-0.05,19.00,20.00,"14,693.33",386.67,,20,1,20,-0.04,19.20,20.00,"14,664.80",385.92,,20,1,20,0.02,20.40,20.00,"14,625.47",384.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Entomology,Equipment,5 per site,5,(Field equipment)Chargers,capital,Financial,100%,"9,348","9,348.00","9,348.00",3.0,"8,235.5",gamma,16,584.25,"2,337.0","9,348.00",,5,1,5,0.09,5.45,5.00,"15,580.00",410.00,,5,1,5,0.05,5.25,5.00,"15,549.75",409.20,,5,1,5,-0.06,4.70,5.00,"15,508.04",408.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Entomology,Equipment,We assume an average of 15% of equipment capital cost for calibration and maintenance,,Insectary equipment maintenance,current,Non-financial,100%,"74,468","11,170.23","11,170.23",1.0,"12,246.6",gamma,16,698.139403988764,"2,792.6","11,170.23",,1,1,1,-0.07,0.93,1.00,"11,170.23",293.95,,1,1,1,0.05,1.05,1.00,"11,148.54",293.38,,1,1,1,-0.03,0.97,1.00,"11,118.64",292.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Entomology,Equipment,Imported from SA,,(Insectary furniture) Bancadas para insectario + Mesa pequenas de materia anticorrosivo + Cabeta de material anticorroiso para em baixo das mesas,capital,Financial,100%,"85,796","120,114.96","120,114.96",8.0,"156,592.3",gamma,16,7507.185,"30,028.7","120,114.96",,1,1,1,-0.10,0.90,1.00,"15,014.37",395.12,,1,1,1,0.02,1.02,1.00,"14,985.22",394.35,,1,1,1,-0.03,0.97,1.00,"14,945.02",393.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Entomology,Equipment,,,(Insectary furniture) chairs,capital,Financial,100%,"16,229","16,229.15","16,229.15",8.0,"8,833.2",gamma,16,1014.32180477528,"4,057.3","16,229.15",,4,1,4,0.00,4.00,4.00,"8,114.57",213.54,,4,1,4,0.10,4.40,4.00,"8,098.82",213.13,,4,1,4,0.09,4.36,4.00,"8,077.10",212.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Entomology,Equipment,,,(Insectary furniture) metallic shelves,capital,Financial,100%,"227,675","227,675.16","227,675.16",8.0,"160,608.9",gamma,16,14229.697752809,"56,918.8","227,675.16",,1,1,1,-0.02,0.98,1.00,"28,459.40",748.93,,1,1,1,-0.01,0.99,1.00,"28,404.13",747.48,,1,1,1,-0.01,0.99,1.00,"28,327.95",745.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Entomology,Drugs and supplies,Annual consumables spent at the insectary in Manhiça,1,(Insectary supplies) Mosquito rearing equipment,current,Financial,100%,"47,500","47,500.00","47,500.00",1.0,"46,645.9",gamma,16,2968.75,"11,875.0","47,500.00",,1,1,1,0.07,1.07,1.00,"47,500.00","1,250.00",,1,1,1,0.05,1.05,1.00,"47,407.77","1,247.57",,1,1,1,0.08,1.08,1.00,"47,280.61","1,244.23",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Entomology,Drugs and supplies,Resistance study 250 USD anually (district),1,(Insectary supplies) WHO insecticides,current,Financial,100%,"9,500","9,500.00","9,500.00",1.0,"9,767.7",gamma,16,593.75,"2,375.0","9,500.00",,1,1,1,0.10,1.10,1.00,"9,500.00",250.00,,1,1,1,-0.10,0.90,1.00,"9,481.55",249.51,,1,1,1,0.02,1.02,1.00,"9,456.12",248.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Entomology,Drugs and supplies,Annual consumables spent at the field,1," (Field supplies) General field work consumables (BG-lures, aspirators, cups, nets)",current,Financial,100%,"47,500","47,500.00","47,500.00",1.0,"51,886.3",gamma,16,2968.75,"11,875.0","47,500.00",,1,1,1,-0.03,0.97,1.00,"47,500.00","1,250.00",,1,1,1,-0.03,0.97,1.00,"47,407.77","1,247.57",,1,1,1,-0.04,0.96,1.00,"47,280.61","1,244.23",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Entomology,Office material,"1,200 USD annually (average annual calculation per study area)",1,Diverse office material,current,Financial,100%,"47,500","47,500.00","47,500.00",1.0,"26,305.6",gamma,16,2968.75,"11,875.0","47,500.00",,1,1,1,-0.07,0.93,1.00,"47,500.00","1,250.00",,1,1,1,-0.04,0.96,1.00,"47,407.77","1,247.57",,1,1,1,0.05,1.05,1.00,"47,280.61","1,244.23",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Entomology,Training and supervision, Valor sala + perdiems (for 12 people) - 2per year ,2,Training mosquito collection,current,Financial,100%,"11,500","11,500.00","11,500.00",1.0,"12,783.6",gamma,16,718.75,"2,875.0","11,500.00",,2,1,2,-0.04,1.92,2.00,"23,000.00",605.26,,2,1,2,0.08,2.16,2.00,"22,955.34",604.09,,2,1,2,-0.08,1.84,2.00,"22,893.77",602.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Entomology,Training and supervision, Valor sala + perdiems (for 12 people) - 2per year ,2,Training morphological identification,current,Financial,100%,"11,500","11,500.00","11,500.00",1.0,"10,716.1",gamma,16,718.75,"2,875.0","11,500.00",,2,1,2,-0.02,1.96,2.00,"23,000.00",605.26,,2,1,2,-0.09,1.82,2.00,"22,955.34",604.09,,2,1,2,0.07,2.14,2.00,"22,893.77",602.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Entomology,Training and supervision,Only in the expansion phase,,Treinamento Open Clinica para 8 pessoas,current,Financial,100%,"15,200","15,200.00","15,200.00",1.0,"19,467.2",gamma,16,950,"3,800.0","15,200.00",,0,1,0,0.04,0.00,0.00,0.00,0.00,,0,1,0,0.07,0.00,0.00,0.00,0.00,,0,1,0,-0.02,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Entomology,Training and supervision,Only in the expansion phase,,Treinamento ODK para 18 pessoas,current,Financial,100%,"15,200","15,200.00","15,200.00",1.0,"13,961.6",gamma,16,950,"3,800.0","15,200.00",,0,1,0,-0.08,0.00,0.00,0.00,0.00,,0,1,0,-0.02,0.00,0.00,0.00,0.00,,0,1,0,0.04,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Entomology,Training and supervision,Only in the expansion phase,,Treinamento R para 8 pessoas,current,Financial,100%,"15,200","15,200.00","15,200.00",1.0,"14,296.3",gamma,16,950,"3,800.0","15,200.00",,0,1,0,-0.02,0.00,0.00,0.00,0.00,,0,1,0,-0.04,0.00,0.00,0.00,0.00,,0,1,0,0.08,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Entomology,Training and supervision,Only in the expansion phase,,Treinamento Linux para IT e centro de dados suportar o projecto. ,current,Financial,100%,"30,400","30,400.00","30,400.00",1.0,"24,649.1",gamma,16,1900,"7,600.0","30,400.00",,0,1,0,-0.06,0.00,0.00,0.00,0.00,,0,1,0,-0.03,0.00,0.00,0.00,0.00,,0,1,0,0.09,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Entomology,Transport,68 km one way. 3 trips/week,x,Manhiça - Magude,current,Financial,100%,18,18.00,18.00,1.0,18.9,gamma,16,1.125,4.5,18.00,,"1,632",11,"17,952",0.00,"1,632.00","17,952.00","323,136.00","8,503.58",,"1,632",11,"17,952",0.09,"1,778.88","17,952.00","322,508.55","8,487.07",,"1,632",11,"17,952",-0.06,"1,534.08","17,952.00","321,643.53","8,464.30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Entomology,Transport,"plus around town, 5 days/month",x,Area 1 - Magude,current,Financial,100%,18,18.00,18.00,1.0,17.8,gamma,16,1.125,4.5,18.00,,50,11,550,-0.08,46.00,550.00,"9,900.00",260.53,,50,11,550,0.03,51.50,550.00,"9,880.78",260.02,,50,11,550,-0.02,49.00,550.00,"9,854.27",259.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Entomology,Transport,"35 km. plus around town, 5 days/month",x,Area 2 - Motaze,current,Financial,100%,18,18.00,18.00,1.0,16.5,gamma,16,1.125,4.5,18.00,,400,11,"4,400",0.02,408.00,"4,400.00","79,200.00","2,084.21",,400,11,"4,400",0.02,408.00,"4,400.00","79,046.21","2,080.16",,400,11,"4,400",0.08,432.00,"4,400.00","78,834.20","2,074.58",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Entomology,Transport,"52 km. plus around town, 3 days/month",x,Area 3 - Mahele,current,Financial,100%,18,18.00,18.00,1.0,15.5,gamma,16,1.125,4.5,18.00,,342,11,"3,762",-0.03,331.74,"3,762.00","67,716.00","1,782.00",,342,11,"3,762",0.05,359.10,"3,762.00","67,584.51","1,778.54",,342,11,"3,762",-0.02,335.16,"3,762.00","67,403.24","1,773.77",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
